频道名称,地址(延时:10秒)
CCTV1,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226118/iptv65795.smil
CCTV10,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226586/10000100000000060000000000499225_0.smil
CCTV11,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225859/0000000008pe.smil
CCTV12,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226533/10000100000000060000000000499226_0.smil
CCTV13,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225815/0000000008o6.smil
CCTV14,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226529/10000100000000060000000000499222_0.smil
CCTV15,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225817/0000000008o8.smil
CCTV2,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226584/10000100000000060000000000499223_0.smil
CCTV4,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226601/10000100000000060000000000755997_0.smil
CCTV7,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226531/10000100000000060000000000499224_0.smil
CCTV9,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226588/10000100000000060000000000499231_0.smil
CCTV风云足球,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225821/0000000008oc.smil
CCTV怀旧剧场,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225935/000000000ac6.smil
CCTV军事科技,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221226037/3221225922.smil
CCTV女性时尚,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225840/0000000008ov.smil
CCTV央视文化精品,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225983/3221225880.smil
CGTN,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225933/000000000ac4.smil
IPTV5+高清,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226490/10000100000000060000000000246848_0.smil
IPTV足球,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226619/10000100000000060000000001377018_0.smil
安徽卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226535/10000100000000060000000000499232_0.smil
北京东奥纪实,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226616/10000100000000060000000000599915_0.smil
北京卡酷少儿,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226466/iptv8889102161.smil
北京卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226469/10000100000000060000000000133834_0.smil
兵团卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226464/iptv8889102157.smil
大众家庭理财,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221226033/3221225931.smil
党员教育,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226520/10000100000000060000000000398797_0.smil
福建东南卫视,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225853/0000000008p8.smil
甘肃卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226457/iptv8889102159.smil
广东卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226525/10000100000000060000000000425466_0.smil
广西卫视,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225943/000000000ace.smil
贵州卫视,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221226041/3221225918.smil
海南卫视,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225850/0000000008p5.smil
河北卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226462/iptv127271.smil
河南卫视,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221226048/3221225911.smil
黑龙江卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226465/10000100000000060000000000133826_0.smil
湖北卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226514/10000100000000060000000000356892_0.smil
湖南金鹰纪实,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226557/10000100000000060000000000599916_0.smil
湖南金鹰卡通,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226614/10000100000000060000000000599470_0.smil
湖南卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226467/10000100000000060000000000133832_0.smil
吉林卫视,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221226044/3221225915.smil
江苏卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226474/10000100000000060000000000133833_0.smil
江苏优漫卡通,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226608/10000100000000060000000000599464_0.smil
江西卫视,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221226046/3221225913.smil
精选影视,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226091/000000000jdg.smil
辽宁北方,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225831/0000000008om.smil
辽宁电子体育,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225980/3221225871.smil
辽宁都市,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226079/000000000cax.smil
辽宁教育·青少,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226081/000000000caz.smil
辽宁生活,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226080/000000000cay.smil
辽宁体育,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225880/0000000009l0.smil
辽宁网络棋牌,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225833/0000000008oo.smil
辽宁卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/3221226511/10000100000000060000000000394610_0.smil
辽宁新动漫,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225945/000000000acg.smila
辽宁宜佳购物,rtsp://221.203.83.35:554/PLTV/460033/224/0/3221225826/0000000008oh.smil
辽宁影视剧,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226082/000000000cb0.smil
辽宁游戏竞技,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226105/000000000vgk.smil
内蒙古卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226104/000000000vfq.smil
宁夏卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226147/iptv112765.smil
青海卫视,rtsp://221.203.83.35:554/PLTV/88888888/224/0/3221226090/000000000jdd.smil
